key,2
#,
offset,0
int32,str
0,
1,魔導裝甲的殘骸。<hex:02100103>這裡難道經歷了激烈的戰鬥？
2,久經使用的劍和盾。<hex:02100103>看起來不像是加雷馬帝國軍的裝備。<hex:02100103>它們的主人究竟是誰？
3,好像是西德年輕時記錄的衛月觀測數據。<hex:02100103>上面書寫著整整齊齊的文字和複雜的公式。<hex:02100103><hex:02100103>根據西德推測，<hex:02100103>衛月擁有收集太陽能後進行轉換、輸送的機能。<hex:02100103><hex:02100103>如果在未做好接收準備的情況下啟動衛月，<hex:02100103>積蓄了數千年的龐大能量將會從天而降，<hex:02100103>造成重大的事故。
4,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
5,腿部受損的魔導死神。<hex:02100103>在剛才的戰鬥中徹底損毀，失去了戰鬥能力。
6,已經咽氣了。<hex:02100103>如果是自己的身體，是否能拯救他呢……<hex:02100103><hex:02100103>趕快前往碎璃營地，阻止芝諾斯的襲擊。
7,看樣子是遭到了被控制的帝國兵襲擊，已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
8,看樣子是曾經拚命抵抗過，但已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
9,腿部受損的魔導死神。<hex:02100103>機器還留有餘溫，不久之前應該還被人駕駛過。<hex:02100103>如果有認證密鑰和燃料應該可以啟動。<hex:02100103>使用這台機器的魔導加農砲，<hex:02100103>也許能掃清正面的敵人……
10,腿部受損的魔導死神。<hex:02100103>使用了認證密鑰，但因為缺少燃料無法啟動。<hex:02100103>尋找魔導死神的殘骸，搜索燃料。
11,魔導死神的殘骸。<hex:02100103>駕駛席的量表顯示還殘留著燃料。<hex:02100103>看樣子可以拆下青磷水箱。
12,腿部受損的魔導死神。<hex:02100103>在剛才的戰鬥中徹底損毀，失去了戰鬥能力。
13,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
14,魔導死神的殘骸。<hex:02100103>駕駛席的量表顯示還殘留著燃料，<hex:02100103>但受損十分嚴重，已經無法再次使用了……
15,已經咽氣了。<hex:02100103>如果是自己的身體，是否能拯救他呢……
16,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……
17,疑似是新兵的帝國兵已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥。
18,從被控制的帝國兵身上獲得了「軍用恢復藥」！<hex:02100103><hex:02100103><hex:02100103>在這場任務戰中，您將無法發揮您平時的戰鬥能力。<hex:02100103>因此，我們建議您前往碎璃營地，<hex:02100103>同時儘可能避免戰鬥。<hex:02100103>一旦被發現並進入戰鬥，<hex:02100103>帝國士兵與魔導兵器將不懈追擊。<hex:02100103>魔導兵器尤為堅韌，所以是十分危險的。<hex:02100103>可以透過任務指令「軍用恢復藥」來恢復體力。<hex:02100103>由於有使用次數的限制、<hex:02100103>所以請積極從敵方士兵和殘骸中尋找更多吧。
19,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了帝國式強壯劑！
20,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
21,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
22,魔導死神的殘骸。<hex:02100103>受損十分嚴重，已經無法再次使用了……<hex:02100103>從駕駛席搜到了軍用恢復藥！
23,已經咽氣了。
24,看樣子是從背後遭到了襲擊，已經咽氣了。<hex:02100103>從懷中搜到了軍用恢復藥！
25,已經咽氣了。
26,破爛的小麻袋。<hex:02100103>從裡面發現了軍用恢復藥！
27,破爛的小麻袋。<hex:02100103>從裡面發現了帝國式恢復劑！
28,腿部受損的魔導死神。<hex:02100103>補充了燃料，但因為缺少認證密鑰無法啟動。<hex:02100103>搜索一下看看原本的駕駛員有沒有躲在附近。
29,水面泛起了波紋，開始產生細小的氣泡……<hex:02100103>想像了一下葉小妖的幼崽在葉片的後面扎堆的情景。
30,在葉片的表面有被踐踏的痕跡。<hex:02100103>是誰在打水時留下的嗎？
31,在水底發現了被植物寄生的動物屍骸。<hex:02100103>是在尋找食物的時候迷路了嗎？
32,發現了有輕微燒焦痕跡的水草。<hex:02100103>很像是賢者的攻擊術式留下的……
33,<hex:02100103>刻有通用語構成的文章……<hex:02100103><hex:02100103>「創世之初，勇猛火神，賜予勇敢的我等烈焰。<hex:02100103>聖火傳承，繼承自先祖的烈焰，回答其名！」<hex:02100103>
34,地上有一張充滿塗鴉的紙片。<hex:02100103>也許是偷盜者的筆記。<hex:02100103><hex:02100103>翠綠的稀有礦石，<hex:02100103>孔雀石之間，綠色與黃色的布袋。<hex:02100103>瓦礫上，牆角邊。